"","PICK","TEAM","SELECTION","RANK","POSITION","TRADE","COMPENSATION"
"1",1,"TEN","","","","",""
"2",2,"JAC","","","","",""
"3",3,"NYG","","","","",""
"4",4,"NE","","","","",""
"5",5,"CLE","","","","",""
"6",6,"LV","","","","",""
"7",7,"NYJ","","","","",""
"8",8,"CAR","","","","",""
"9",9,"NO","","","","",""
"10",10,"CHI","","","","",""
"11",11,"SF","","","","",""
"12",12,"DAL","","","","",""
"13",13,"MIA","","","","",""
"14",14,"IND","","","","",""
"15",15,"ATL","","","","",""
"16",16,"ARI","","","","",""
"17",17,"CIN","","","","",""
"18",18,"SEA","","","","",""
"19",19,"TB","","","","",""
"20",20,"DEN","","","","",""
"21",21,"PIT","","","","",""
"22",22,"LAC","","","","",""
"23",23,"GB","","","","",""
"24",24,"MIN","","","","",""
"25",25,"NYG","","","","",""
"26",26,"ATL","","","","",""
"27",27,"BAL","","","","",""
"28",28,"DET","","","","",""
"29",29,"WAS","","","","",""
"30",30,"BUF","","","","",""
"31",31,"PHI","","","","",""
"32",32,"KC","","","","",""
"33",33,"CLE","","","","",""
"34",34,"HOU","","","","",""
"35",35,"SEA","","","","",""
"36",36,"CLE","","","","",""
"37",37,"MIA","","","","",""
"38",38,"NE","","","","",""
"39",39,"CHI","","","","",""
"40",40,"NO","","","","",""
"41",41,"BUF","","","","",""
"42",42,"NYJ","","","","",""
"43",43,"SF","","","","",""
"44",44,"DAL","","","","",""
"45",45,"IND","","","","",""
"46",46,"LAR","","","","",""
"47",47,"ARI","","","","",""
"48",48,"LV","","","","",""
"49",49,"CIN","","","","",""
"50",50,"SEA","","","","",""
"51",51,"DEN","","","","",""
"52",52,"TEN","","","","",""
"53",53,"TB","","","","",""
"54",54,"GB","","","","",""
"55",55,"LAC","","","","",""
"56",56,"CHI","","","","",""
"57",57,"CAR","","","","",""
"58",58,"HOU","","","","",""
"59",59,"BAL","","","","",""
"60",60,"DET","","","","",""
"61",61,"WAS","","","","",""
"62",62,"CHI","","","","",""
"63",63,"KC","","","","",""
"64",64,"PHI","","","","",""
"65",65,"NYG","","","","",""
"66",66,"KC","","","","",""
"67",67,"CLE","","","","",""
"68",68,"LV","","","","",""
"69",69,"NE","","","","",""
"70",70,"JAC","","","","",""
"71",71,"NO","","","","",""
"72",72,"BUF","","","","",""
"73",73,"NYJ","","","","",""
"74",74,"CAR","","","","",""
"75",75,"SF","","","","",""
"76",76,"DAL","","","","",""
"77",77,"NE","","","","",""
"78",78,"ARI","","","","",""
"79",79,"HOU","","","","",""
"80",80,"IND","","","","",""
"81",81,"CIN","","","","",""
"82",82,"TEN","","","","",""
"83",83,"PIT","","","","",""
"84",84,"TB","","","","",""
"85",85,"DEN","","","","",""
"86",86,"LAC","","","","",""
"87",87,"GB","","","","",""
"88",88,"JAC","","","","",""
"89",89,"HOU","","","","",""
"90",90,"LAR","","","","",""
"91",91,"BAL","","","","",""
"92",92,"SEA","","","","",""
"93",93,"NO","","","","",""
"94",94,"CLE","","","","",""
"95",95,"KC","","","","",""
"96",96,"PHI","","","","",""
"97",97,"MIN","","","","",""
"98",98,"LV","","","","",""
"99",99,"HOU","","","","",""
"100",100,"SF","","","","",""
"101",101,"LAR","","","","",""
"102",102,"DET","","","","",""
"103",103,"TEN","","","","",""
"104",104,"JAC","","","","",""
"105",105,"NYG","","","","",""
"106",106,"NE","","","","",""
"107",107,"JAC","","","","",""
"108",108,"LV","","","","",""
"109",109,"CHI","","","","",""
"110",110,"NYJ","","","","",""
"111",111,"CAR","","","","",""
"112",112,"NO","","","","",""
"113",113,"SF","","","","",""
"114",114,"CAR","","","","",""
"115",115,"ARI","","","","",""
"116",116,"MIA","","","","",""
"117",117,"IND","","","","",""
"118",118,"ATL","","","","",""
"119",119,"CIN","","","","",""
"120",120,"TEN","","","","",""
"121",121,"TB","","","","",""
"122",122,"DEN","","","","",""
"123",123,"PIT","","","","",""
"124",124,"GB","","","","",""
"125",125,"LAC","","","","",""
"126",126,"CLE","","","","",""
"127",127,"LAR","","","","",""
"128",128,"WAS","","","","",""
"129",129,"BAL","","","","",""
"130",130,"DET","","","","",""
"131",131,"NO","","","","",""
"132",132,"BUF","","","","",""
"133",133,"KC","","","","",""
"134",134,"PHI","","","","",""
"135",135,"MIA","","","","",""
"136",136,"BAL","","","","",""
"137",137,"SEA","","","","",""
"138",138,"SF","","","","",""
"139",139,"MIN","","","","",""
"140",140,"CAR","","","","",""
"141",141,"TEN","","","","",""
"142",142,"JAC","","","","",""
"143",143,"LV","","","","",""
"144",144,"NE","","","","",""
"145",145,"NYJ","","","","",""
"146",146,"CAR","","","","",""
"147",147,"SF","","","","",""
"148",148,"CHI","","","","",""
"149",149,"DAL","","","","",""
"150",150,"MIA","","","","",""
"151",151,"IND","","","","",""
"152",152,"ARI","","","","",""
"153",153,"CIN","","","","",""
"154",154,"NYG","","","","",""
"155",155,"MIA","","","","",""
"156",156,"PIT","","","","",""
"157",157,"TB","","","","",""
"158",158,"LAC","","","","",""
"159",159,"GB","","","","",""
"160",160,"SF","","","","",""
"161",161,"PHI","","","","",""
"162",162,"NYJ","","","","",""
"163",163,"CAR","","","","",""
"164",164,"PHI","","","","",""
"165",165,"PHI","","","","",""
"166",166,"CLE","","","","",""
"167",167,"TEN","","","","",""
"168",168,"PHI","","","","",""
"169",169,"BUF","","","","",""
"170",170,"BUF","","","","",""
"171",171,"NE","","","","",""
"172",172,"SEA","","","","",""
"173",173,"BUF","","","","",""
"174",174,"DAL","","","","",""
"175",175,"SEA","","","","",""
"176",176,"BAL","","","","",""
"177",177,"BUF","","","","",""
"178",178,"TEN","","","","",""
"179",179,"HOU","","","","",""
"180",180,"LV","","","","",""
"181",181,"LAC","","","","",""
"182",182,"JAC","","","","",""
"183",183,"BAL","","","","",""
"184",184,"NO","","","","",""
"185",185,"PIT","","","","",""
"186",186,"NYJ","","","","",""
"187",187,"MIN","","","","",""
"188",188,"TEN","","","","",""
"189",189,"IND","","","","",""
"190",190,"LAR","","","","",""
"191",191,"DEN","","","","",""
"192",192,"CLE","","","","",""
"193",193,"CIN","","","","",""
"194",194,"JAC","","","","",""
"195",195,"LAR","","","","",""
"196",196,"DET","","","","",""
"197",197,"DEN","","","","",""
"198",198,"GB","","","","",""
"199",199,"LAC","","","","",""
"200",200,"JAC","","","","",""
"201",201,"LAR","","","","",""
"202",202,"LAR","","","","",""
"203",203,"BAL","","","","",""
"204",204,"DAL","","","","",""
"205",205,"WAS","","","","",""
"206",206,"BUF","","","","",""
"207",207,"NYJ","","","","",""
"208",208,"DEN","","","","",""
"209",209,"LAC","","","","",""
"210",210,"BAL","","","","",""
"211",211,"DAL","","","","",""
"212",212,"BAL","","","","",""
"213",213,"LV","","","","",""
"214",214,"LAC","","","","",""
"215",215,"LV","","","","",""
"216",216,"HOU","","","","",""
"217",217,"DAL","","","","",""
"218",218,"ATL","","","","",""
"219",219,"NYG","","","","",""
"220",220,"NE","","","","",""
"221",221,"JAC","","","","",""
"222",222,"LV","","","","",""
"223",223,"SEA","","","","",""
"224",224,"MIA","","","","",""
"225",225,"ARI","","","","",""
"226",226,"KC","","","","",""
"227",227,"SF","","","","",""
"228",228,"DET","","","","",""
"229",229,"PIT","","","","",""
"230",230,"CAR","","","","",""
"231",231,"MIA","","","","",""
"232",232,"IND","","","","",""
"233",233,"CHI","","","","",""
"234",234,"SEA","","","","",""
"235",235,"TB","","","","",""
"236",236,"HOU","","","","",""
"237",237,"GB","","","","",""
"238",238,"NE","","","","",""
"239",239,"DAL","","","","",""
"240",240,"BUF","","","","",""
"241",241,"HOU","","","","",""
"242",242,"ATL","","","","",""
"243",243,"BAL","","","","",""
"244",244,"DET","","","","",""
"245",245,"WAS","","","","",""
"246",246,"NYG","","","","",""
"247",247,"DAL","","","","",""
"248",248,"NO","","","","",""
"249",249,"SF","","","","",""
"250",250,"GB","","","","",""
"251",251,"KC","","","","",""
"252",252,"SF","","","","",""
"253",253,"MIA","","","","",""
"254",254,"NO","","","","",""
"255",255,"HOU","","","","",""
"256",256,"LAC","","","","",""
"257",257,"KC","","","","",""
