"","season","team","total_games","overall_ats_record","overall_ats_pct","total_spread_covers","total_spread_losses","home_ats_pct","away_ats_pct","home_away_ats_diff","overall_over_pct","total_overs","total_unders","home_over_pct","away_over_pct","avg_home_score","avg_away_score","home_away_scoring_diff","avg_points_allowed_home","avg_points_allowed_away","favorite_rate","total_favorite_games","total_underdog_games","avg_home_spread","avg_away_spread"
"1",2022,"ARI",17,"8-9-0",47.1,8,9,44.4,50,-5.6,58.8,10,7,55.6,62.5,19.6,20.5,-0.899999999999999,28.7,23.9,82.4,14,3,-3.7,-4.2
"2",2022,"ATL",17,"8-8-1",50,8,8,50,50,0,41.2,7,10,44.4,37.5,24.9,17.6,7.3,21.6,24,70.6,12,5,0.7,-5.1
"3",2022,"BAL",18,"7-9-2",43.8,7,9,14.3,66.7,-52.4,33.3,6,12,12.5,50,19.1,21.4,-2.3,17.4,20,33.3,6,12,4.9,-0.5
"4",2022,"BUF",18,"8-9-1",47.1,8,9,40,57.1,-17.1,38.9,7,11,60,12.5,29.8,25.1,4.7,20.5,17.4,0,0,18,9.3,5.4
"5",2022,"CAR",17,"9-8-0",52.9,9,8,55.6,50,5.6,47.1,8,9,44.4,50,22.1,18.5,3.6,19.8,24.5,76.5,13,4,-2.3,-5.5
"6",2022,"CHI",17,"5-10-2",33.3,5,10,37.5,28.6,8.9,58.8,10,7,55.6,62.5,19.6,18.8,0.800000000000001,25,29.8,88.2,15,2,-3.6,-7.4
"7",2022,"CIN",19,"13-5-1",72.2,13,5,71.4,72.7,-1.3,38.9,7,11,50,30,28.1,24,4.1,17.9,20.8,21.1,4,15,5.7,1.8
"8",2022,"CLE",17,"8-9-0",47.1,8,9,50,44.4,5.6,50,8,8,57.1,44.4,22.5,20.1,2.4,20.8,23.9,58.8,10,7,1.5,-2.1
"9",2022,"DAL",19,"10-8-1",55.6,10,8,66.7,44.4,22.3,47.4,9,10,55.6,40,30,24,6,19.7,19.8,31.6,6,13,5.9,1.6
"10",2022,"DEN",17,"7-10-0",41.2,7,10,37.5,44.4,-6.9,35.3,6,11,37.5,33.3,18,15.9,2.1,18.2,23.7,52.9,9,8,1.6,-2.5
"11",2022,"DET",17,"12-5-0",70.6,12,5,77.8,62.5,15.3,56.2,9,7,66.7,42.9,33.1,19.4,13.7,25.3,24.9,70.6,12,5,-1.5,-3.4
"12",2022,"GB",17,"8-9-0",47.1,8,9,44.4,50,-5.6,47.1,8,9,55.6,37.5,23.9,19.4,4.5,21.3,22.4,35.3,6,11,5.8,-1.5
"13",2022,"HOU",17,"8-8-1",50,8,8,37.5,62.5,-25,41.2,7,10,37.5,44.4,15.2,18.6,-3.4,26.4,23.2,100,17,0,-7,-7.8
"14",2022,"IND",17,"6-11-0",35.3,6,11,37.5,33.3,4.2,41.2,7,10,37.5,44.4,19.2,15,4.2,22.2,27.7,58.8,10,7,-0.1,-2.8
"15",2022,"JAX",19,"10-8-1",55.6,10,8,55.6,55.6,0,47.4,9,10,33.3,60,23.3,24.5,-1.2,20.4,22.3,73.7,14,5,0.2,-4
"16",2022,"KC",20,"7-12-1",36.8,7,12,22.2,50,-27.8,45,9,11,20,70,25.1,33.3,-8.2,19.5,24.9,15,3,17,8.6,5
"17",2022,"LA",17,"7-9-1",43.8,7,9,44.4,42.9,1.5,35.3,6,11,55.6,12.5,21.9,13.8,8.1,22.8,22.4,70.6,12,5,1.2,-4.9
"18",2022,"LAC",18,"11-6-1",64.7,11,6,57.1,70,-12.9,44.4,8,10,37.5,50,21.8,24.7,-2.9,22.6,23.4,33.3,6,12,2.5,-0.4
"19",2022,"LV",17,"8-9-0",47.1,8,9,62.5,33.3,29.2,52.9,9,8,75,33.3,27.1,19.8,7.3,26.1,23.2,41.2,7,10,0.5,-0.9
"20",2022,"MIA",18,"10-8-0",55.6,10,8,62.5,50,12.5,50,9,9,12.5,80,21.6,25.5,-3.9,15.5,30.9,44.4,8,10,3.4,-2.2
"21",2022,"MIN",18,"7-10-1",41.2,7,10,40,42.9,-2.9,64.7,11,6,77.8,50,26.7,22.6,4.1,25.8,25,27.8,5,13,3.8,0.2
"22",2022,"NE",17,"7-9-1",43.8,7,9,37.5,50,-12.5,47.1,8,9,37.5,55.6,19.5,23.1,-3.6,17.9,22.7,52.9,9,8,1.9,-2.1
"23",2022,"NO",17,"7-10-0",41.2,7,10,44.4,37.5,6.9,35.3,6,11,44.4,25,21.3,17.2,4.1,20.6,20,64.7,11,6,0.6,-2.1
"24",2022,"NYG",19,"14-5-0",73.7,14,5,66.7,80,-13.3,44.4,8,10,50,40,22.3,20.2,2.1,21.8,23.7,73.7,14,5,0.2,-6.7
"25",2022,"NYJ",17,"8-9-0",47.1,8,9,37.5,55.6,-18.1,29.4,5,12,25,33.3,18.6,16.3,2.3,19.5,17.8,70.6,12,5,-2.1,-3.8
"26",2022,"PHI",20,"10-10-0",50,10,10,66.7,25,41.7,55,11,9,58.3,50,28.8,29.4,-0.599999999999998,18.4,21.9,5,1,19,6.9,6.2
"27",2022,"PIT",17,"10-6-1",62.5,10,6,57.1,66.7,-9.6,41.2,7,10,37.5,44.4,19.9,16.6,3.3,18.2,22.2,64.7,11,6,-0.8,-5.5
"28",2022,"SEA",18,"7-11-0",38.9,7,11,44.4,33.3,11.1,50,9,9,33.3,66.7,22.1,25.7,-3.6,19.8,29.3,66.7,12,6,0.5,-4.4
"29",2022,"SF",20,"13-7-0",65,13,7,81.8,44.4,37.4,50,10,10,54.5,44.4,28.4,22.8,5.6,15.3,19.4,10,2,18,6.2,4.3
"30",2022,"TB",18,"4-13-1",23.5,4,13,22.2,25,-2.8,33.3,6,12,40,25,20.7,15,5.7,23.1,19.8,22.2,4,14,2.1,3.6
"31",2022,"TEN",17,"9-6-2",60,9,6,42.9,75,-32.1,29.4,5,12,25,33.3,18.1,17,1.1,20.6,21.6,58.8,10,7,0,-4.8
"32",2022,"WAS",17,"8-8-1",50,8,8,50,50,0,31.2,5,11,22.2,42.9,17.8,20.1,-2.3,19,21.5,52.9,9,8,-1.1,-2
"33",2023,"ARI",17,"9-8-0",52.9,9,8,62.5,44.4,18.1,58.8,10,7,87.5,33.3,23.5,15.8,7.7,29.8,24.1,100,17,0,-6.1,-8.8
"34",2023,"ATL",17,"5-12-0",29.4,5,12,37.5,22.2,15.3,41.2,7,10,37.5,44.4,24,14.3,9.7,20.2,23.4,35.3,6,11,2.1,-0.7
"35",2023,"BAL",19,"12-7-0",63.2,12,7,54.5,75,-20.5,44.4,8,10,50,37.5,30.1,24.5,5.6,17,15,15.8,3,16,5.3,2.3
"36",2023,"BUF",19,"8-11-0",42.1,8,11,45.5,37.5,8,42.1,8,11,45.5,37.5,28.3,24.4,3.9,17,21,15.8,3,16,7.8,3.1
"37",2023,"CAR",17,"4-11-2",26.7,4,11,42.9,12.5,30.4,31.2,5,11,14.3,44.4,13.4,14.3,-0.9,20.4,28.1,100,17,0,-4.3,-5.7
"38",2023,"CHI",17,"8-6-3",57.1,8,6,66.7,50,16.7,52.9,9,8,62.5,44.4,24.9,17.9,7,19.9,24.4,76.5,13,4,0,-6.3
"39",2023,"CIN",17,"7-8-2",46.7,7,8,57.1,37.5,19.6,58.8,10,7,55.6,62.5,23.7,19.1,4.6,19.1,26.5,29.4,5,12,3.1,-2
"40",2023,"CLE",18,"9-7-2",56.2,9,7,87.5,25,62.5,64.7,11,6,25,100,22.3,23.2,-0.899999999999999,13.9,31.3,44.4,8,10,2.1,-1.2
"41",2023,"DAL",18,"10-8-0",55.6,10,8,66.7,44.4,22.3,58.8,10,7,66.7,50,36.8,23.3,13.5,19.4,20.9,22.2,4,14,8.6,3.3
"42",2023,"DEN",17,"6-10-1",37.5,6,10,44.4,28.6,15.8,47.1,8,9,44.4,50,22.4,19.4,3,19.6,29.6,47.1,8,9,2.1,-4.6
"43",2023,"DET",20,"14-6-0",70,14,6,60,80,-20,65,13,7,70,60,29.9,24.8,5.1,21.9,25.6,20,4,16,5.9,-0.2
"44",2023,"GB",19,"11-8-0",57.9,11,8,62.5,54.5,8,57.9,11,8,37.5,72.7,19.4,27,-7.6,20,22.4,73.7,14,5,-0.4,-2.5
"45",2023,"HOU",19,"10-9-0",52.6,10,9,50,55.6,-5.6,38.9,7,11,40,37.5,26.6,18.4,8.2,19.7,22.7,63.2,12,7,0.4,-3.3
"46",2023,"IND",17,"9-8-0",52.9,9,8,44.4,62.5,-18.1,64.7,11,6,77.8,50,25.7,20.6,5.1,25.4,23.2,58.8,10,7,-0.8,-1.6
"47",2023,"JAX",17,"9-8-0",52.9,9,8,44.4,62.5,-18.1,47.1,8,9,44.4,50,20.8,23.8,-3,20.7,23.1,35.3,6,11,2.7,0.3
"48",2023,"KC",21,"13-7-1",65,13,7,63.6,66.7,-3.1,30,6,14,10,50,23.3,21,2.3,16.1,18,19,4,17,5.5,3.8
"49",2023,"LA",18,"11-6-1",64.7,11,6,62.5,66.7,-4.2,50,9,9,37.5,60,23.9,23.6,0.299999999999997,20.4,23.8,50,9,9,2,-2.4
"50",2023,"LAC",17,"5-11-1",31.2,5,11,25,37.5,-12.5,29.4,5,12,33.3,25,21.6,19,2.6,23.1,23.8,47.1,8,9,0.7,0
"51",2023,"LV",17,"10-5-2",66.7,10,5,75,57.1,17.9,35.3,6,11,33.3,37.5,23.2,15.4,7.8,15.6,23.9,58.8,10,7,0.2,-6.3
"52",2023,"MIA",18,"10-8-0",55.6,10,8,66.7,44.4,22.3,50,9,9,44.4,55.6,31.9,24,7.9,17.3,29,38.9,7,11,8.3,0.3
"53",2023,"MIN",17,"7-7-3",50,7,7,25,83.3,-58.3,41.2,7,10,37.5,44.4,19.2,21.1,-1.9,23.2,19.6,52.9,9,8,-0.9,-0.8
"54",2023,"NE",17,"5-11-1",31.2,5,11,12.5,50,-37.5,41.2,7,10,33.3,50,12.1,15.9,-3.8,20.9,22.2,70.6,12,5,-2.3,-4.8
"55",2023,"NO",17,"6-10-1",37.5,6,10,37.5,37.5,0,35.3,6,11,37.5,33.3,25.1,22.3,2.8,18.9,19.6,23.5,4,13,3.7,0.5
"56",2023,"NYG",17,"8-8-1",50,8,8,71.4,33.3,38.1,35.3,6,11,25,44.4,14.1,17,-2.9,18.6,28.7,94.1,16,1,-4.1,-8.8
"57",2023,"NYJ",17,"6-10-1",37.5,6,10,44.4,28.6,15.8,41.2,7,10,44.4,37.5,17.7,13.6,4.1,19.6,22.4,82.4,14,3,-4,-3.9
"58",2023,"PHI",18,"7-9-2",43.8,7,9,42.9,44.4,-1.5,50,9,9,87.5,20,30.9,19.5,11.4,29.4,22.5,16.7,3,15,5.9,3.2
"59",2023,"PIT",18,"10-8-0",55.6,10,8,55.6,55.6,0,38.9,7,11,44.4,33.3,18.3,17.3,1,19.2,20.2,61.1,11,7,0.5,-1.9
"60",2023,"SEA",17,"8-7-2",53.3,8,7,42.9,62.5,-19.6,41.2,7,10,62.5,22.2,22.4,20.6,1.8,23.9,23.4,47.1,8,9,2.7,-3.6
"61",2023,"SF",20,"9-11-0",45,9,11,30,60,-30,55.6,10,8,60,50,27.6,29.5,-1.9,20.5,17,0,0,20,9.1,6.7
"62",2023,"TB",19,"12-7-0",63.2,12,7,44.4,80,-35.6,36.8,7,12,22.2,50,19.2,23,-3.8,16.2,21.9,68.4,13,6,0.1,-4.3
"63",2023,"TEN",17,"7-9-1",43.8,7,9,62.5,25,37.5,35.3,6,11,44.4,25,22.7,12.6,10.1,19.3,24.1,82.4,14,3,-1.6,-4.4
"64",2023,"WAS",17,"6-10-1",37.5,6,10,0,66.7,-66.7,58.8,10,7,62.5,55.6,16,22.3,-6.3,34,27.3,76.5,13,4,-3.4,-4.8
"65",2024,"ARI",17,"11-6-0",64.7,11,6,66.7,62.5,4.2,50,8,8,55.6,42.9,26.7,20,6.7,19.2,25.8,58.8,10,7,1.3,-3.3
"66",2024,"ATL",17,"6-11-0",35.3,6,11,33.3,37.5,-4.2,41.2,7,10,33.3,50,23.9,21.8,2.1,24.1,25.8,35.3,6,11,3.1,0.1
"67",2024,"BAL",19,"12-7-0",63.2,12,7,66.7,60,6.7,73.7,14,5,66.7,80,31.1,29.1,2,18.7,23.4,5.3,1,18,8,4.2
"68",2024,"BUF",20,"12-8-0",60,12,8,70,50,20,68.4,13,6,77.8,60,33.2,28,5.2,17.3,25.9,30,6,14,6.6,0.5
"69",2024,"CAR",17,"8-9-0",47.1,8,9,55.6,37.5,18.1,76.5,13,4,77.8,75,21.1,18.9,2.2,28.1,35.1,94.1,16,1,-5.5,-8.4
"70",2024,"CHI",17,"8-7-2",53.3,8,7,75,28.6,46.4,41.2,7,10,55.6,25,20.9,15.2,5.7,18.9,25,76.5,13,4,-0.4,-5
"71",2024,"CIN",17,"10-7-0",58.8,10,7,37.5,77.8,-40.3,64.7,11,6,75,55.6,28.9,26.8,2.1,28.8,22.7,23.5,4,13,5,1.6
"72",2024,"CLE",17,"4-13-0",23.5,4,13,25,22.2,2.8,41.2,7,10,37.5,44.4,14.9,15.4,-0.5,23.2,27.7,76.5,13,4,-2.1,-5.8
"73",2024,"DAL",17,"7-10-0",41.2,7,10,33.3,50,-16.7,64.7,11,6,66.7,62.5,17.9,23.6,-5.7,31.2,23.4,82.4,14,3,-2.8,-3.6
"74",2024,"DEN",18,"12-6-0",66.7,12,6,75,60,15,61.1,11,7,62.5,60,29,20,9,14.9,22.3,55.6,10,8,4.2,-4.2
"75",2024,"DET",18,"12-5-1",70.6,12,5,55.6,87.5,-31.9,58.8,10,7,60,57.1,34.9,30.8,4.1,24.2,18.1,5.6,1,17,6.9,3.8
"76",2024,"GB",18,"8-9-1",47.1,8,9,55.6,37.5,18.1,47.1,8,9,37.5,55.6,26.8,25.4,1.4,16.8,23.2,33.3,6,12,4.4,0.3
"77",2024,"HOU",19,"9-9-1",50,9,9,50,50,0,38.9,7,11,25,50,21.4,22.5,-1.1,20.7,22.1,42.1,8,11,1.7,0.1
"78",2024,"IND",17,"9-8-0",52.9,9,8,62.5,44.4,18.1,58.8,10,7,62.5,55.6,22.6,21.8,0.800000000000001,23.2,26.8,58.8,10,7,-0.6,-1.4
"79",2024,"JAX",17,"10-7-0",58.8,10,7,62.5,55.6,6.9,52.9,9,8,50,55.6,22.6,15.4,7.2,22.2,28.6,76.5,13,4,-0.7,-4.7
"80",2024,"KC",20,"8-12-0",40,8,12,40,40,0,45,9,11,50,40,24.5,21.7,2.8,19.2,21.7,15,3,17,6.4,2.4
"81",2024,"LA",19,"11-8-0",57.9,11,8,50,66.7,-16.7,47.4,9,10,50,44.4,24,19.6,4.4,23.3,21.1,57.9,11,8,-1.2,-0.7
"82",2024,"LAC",18,"13-5-0",72.2,13,5,75,70,5,50,9,9,62.5,40,24.1,22.1,2,22,15.7,22.2,4,14,1.8,2
"83",2024,"LV",17,"8-9-0",47.1,8,9,50,44.4,5.6,52.9,9,8,62.5,44.4,17.8,18.6,-0.800000000000001,25.4,25.7,82.4,14,3,-3.4,-6.3
"84",2024,"MIA",17,"7-10-0",41.2,7,10,37.5,44.4,-6.9,47.1,8,9,75,22.2,24.8,16.3,8.5,23,20,47.1,8,9,4.1,-2.1
"85",2024,"MIN",18,"11-6-1",64.7,11,6,77.8,50,27.8,38.9,7,11,33.3,44.4,28,21,7,18.3,21.6,27.8,5,13,2.1,2.2
"86",2024,"NE",17,"7-9-1",43.8,7,9,50,37.5,12.5,64.7,11,6,87.5,44.4,19,15.2,3.8,26.2,23,100,17,0,-4.3,-7.6
"87",2024,"NO",17,"7-10-0",41.2,7,10,44.4,37.5,6.9,47.1,8,9,44.4,50,21.6,18,3.6,22.9,24,76.5,13,4,-1.8,-4.7
"88",2024,"NYG",17,"5-12-0",29.4,5,12,33.3,25,8.3,35.3,6,11,33.3,37.5,14.4,17.9,-3.5,25.8,22.9,94.1,16,1,-6.1,-3.9
"89",2024,"NYJ",17,"6-11-0",35.3,6,11,37.5,33.3,4.2,58.8,10,7,50,66.7,20.4,19.4,1,17.8,29.1,35.3,6,11,2.4,-0.4
"90",2024,"PHI",21,"14-7-0",66.7,14,7,61.5,75,-13.5,47.6,10,11,46.2,50,29.5,28,1.5,18,18.2,19,4,17,5.7,1.3
"91",2024,"PIT",18,"11-7-0",61.1,11,7,75,50,25,44.4,8,10,25,60,21.5,22.2,-0.699999999999999,17.6,23.4,55.6,10,8,0.8,-1.8
"92",2024,"SEA",17,"6-11-0",35.3,6,11,22.2,50,-27.8,52.9,9,8,44.4,62.5,19.7,24.8,-5.1,23.1,20,64.7,11,6,0.3,-0.2
"93",2024,"SF",17,"5-12-0",29.4,5,12,44.4,12.5,31.9,62.5,10,6,55.6,71.4,25.3,20.1,5.2,21.4,30.4,23.5,4,13,4.1,0.6
"94",2024,"TB",18,"10-8-0",55.6,10,8,50,62.5,-12.5,66.7,12,6,60,75,27.7,30.6,-2.9,22.6,22.8,44.4,8,10,3,-0.1
"95",2024,"TEN",17,"2-14-1",12.5,2,14,0,22.2,-22.2,58.8,10,7,37.5,77.8,16,20.3,-4.3,23,30.7,64.7,11,6,-0.2,-5.9
"96",2024,"WAS",20,"12-8-0",60,12,8,77.8,45.5,32.3,65,13,7,66.7,63.6,30.4,27.5,2.9,21.2,27.8,45,9,11,3.7,-2.2
